sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-835b11,ProMaster Dual-Head Mill,A versatile industrial mill designed to efficiently process various materials with precision and durability.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-7ab012,Precision CNC Lathe Machine,Advanced CNC lathe machine designed to deliver exceptional precision and efficiency in machining operations.,KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-a516d9,RoboGrip,A versatile robotic gripper designed to enhance efficiency and precision on assembly lines.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-7d56d3,All-Purpose Surface Spray,A powerful cleaning agent that effortlessly removes tough stains and grime on any surface.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-a0c241,ProTuff Abrasive Wheel,High-quality abrasive wheel designed for efficient surface grinding and polishing.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-d1e518,SafeGuard Fall Harness,A durable fall protection harness designed to ensure safety and comfort during work at height.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-dd48f9,MaxiPower Pro,"A robust and efficient lift truck designed to handle heavy loads with ease, featuring advanced safety features and ergonomic controls.",KG,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-702658,Polyacrylamide Gel Powder,"A versatile polymer used for gel electrophoresis and chromatography applications, enhancing protein separation efficiency.",Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-41bb5b,Diamond Tuff Pad,Durable abrasive pad perfect for grinding and polishing surfaces,KG,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-77edfc,Precision Hole Punch Set,High-quality set of hole punches designed for efficient and accurate perforation tasks.,Set,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-b001d0,Innovative 3D Print Solutions,"High-quality, customizable 3D printing services tailored to meet your unique project needs.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-db2c01,RoboMover Pro,"An advanced robotic arm designed to streamline assembly line operations, enhancing efficiency and precision.",Piece,True,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-e179e9,Synthetic Lubricant X-2000,A high-performance synthetic lubricant designed to reduce friction and protect machinery for optimal longevity.,Piece,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-e56a4d,Kitchen Silicone Baking Mat,A durable silicone baking mat perfect for cooking and baking tasks.,KG,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-a91c3f,3D PrintPro Resin,High-quality photopolymer resin for rapid prototyping and detailed 3D printing applications.,Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-7058af,ProGrip Safety Set,Durable safety gloves and goggles designed to protect against workplace hazards.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-6f284d,EcoClean Pro,A powerful yet eco-friendly cleaning agent that effectively removes tough stains and disinfects surfaces without harmful chemicals.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-bd98b8,Silicone Lubricant Spray,A versatile silicone-based lubricant spray perfect for reducing friction and preventing rust on metal surfaces.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-2190bd,Precision CNC Lathe,A high-precision machine designed to cut and shape metal parts with exceptional accuracy.,KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-6aa880,EcoClean Pro,A powerful yet eco-friendly cleaning solution that effectively removes tough stains and disinfects surfaces.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-822db4,Eco-Friendly 3D Printed Home Decor,Sustainably crafted 3D printed home decor pieces that blend modern design with eco-friendly materials.,KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-623544,FusionForm Rapid Prototype Plastic,"A high-quality, easily moldable plastic ideal for creating detailed prototypes quickly and efficiently.",Box,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-7e2c7d,Engine Oil Filter Rebuild Kit,"A comprehensive kit to rebuild your engine oil filter, ensuring optimal performance and longevity.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-924d07,Digital Multimeter Pro,A versatile digital multimeter perfect for electrical testing and measurement.,Piece,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-70c96f,PrecisionVoltmeter Pro,A high-accuracy voltmeter designed for precise voltage measurements in various electrical systems.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-302148,SuperGrit Diamond Grinding Wheel,Premium diamond-coated abrasive wheel for precision grinding and finishing metal surfaces.,Box,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-0758e4,EcoClean Pro,"A powerful, eco-friendly cleaning solution that effectively removes tough stains and odors while being safe for both people and the environment.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-8210da,Universal Valve Assembly,Durable valve assembly designed for seamless integration into various industrial systems.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-cca9aa,Calibrated Precision Thermometer,A high-accuracy thermometer designed for precise temperature measurements in scientific and industrial applications.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-97386e,Synthetic Lubricant X,A premium synthetic lubricant designed to enhance performance and protect machinery under extreme conditions.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-4c54aa,Diamond Grinding Disc,High-performance diamond-coated grinding disc for precision material removal and surface finishing.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-466087,Innovative Print Solutions,"Professional 3D printing services offering high-quality, customized prototypes and end-use parts.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-c2045a,Guardian Fall Harness,A durable fall protection harness designed to ensure safety during work at heights.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-2c1cd3,Precision Hole Punch Die,"A high-quality, durable die designed to accurately punch holes of various sizes for precise manufacturing applications.",KG,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-1404f7,OptiClean Buffer Solution,A versatile chemical buffer solution ideal for laboratory experiments and reagent preparation.,KG,True,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-004514,SpeedPro CNC Mill,A high-speed precision milling machine designed for efficient production of complex components.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-484d3c,Eco-Friendly Rapid Prototype Foam,"A lightweight, eco-friendly foam ideal for rapid prototyping and testing of new product designs.",Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-df1ce0,ProGuard Fall Safety Harness,A durable and adjustable harness designed to provide maximum fall protection and respiratory safety.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-f7b968,Guardian Fall Helmet,A durable helmet designed to protect against falls and provide respiratory protection during outdoor activities.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-49301e,Engine Oil Filter,High-quality engine oil filter designed to efficiently remove contaminants and prolong engine life.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-c54430,Calibrated Precision Thermometer,A durable and accurate thermometer designed for precise temperature measurements in various industrial applications.,KG,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-bf3f92,ProGrip Safety Hand Protection,Durable safety gloves designed to protect hands from cuts and abrasions while working.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-85582c,Precision Press Die Set,A high-quality die set designed to ensure accurate and consistent results in various manufacturing processes.,KG,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-63bd5b,3D Print Pro Resin,"High-quality, fast-setting resin ideal for detailed and durable rapid prototyping projects.",Set,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-954aea,ExoForm 3D Printer Service,"Professional 3D printing services delivering high-quality, durable prototypes and end-use parts tailored to your exact specifications.",Set,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-5a840d,Engine Oil Filter Replacement Kit,This kit includes all necessary parts to replace your engine oil filter efficiently.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-d71534,Fluorometer Pro,A high-precision fluorometer designed to accurately measure fluorescence intensity across a wide range of wavelengths.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-56fbd6,Heavy-Duty Steel Belt,"A durable, high-strength steel belt designed for heavy industrial machinery and equipment.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-0aaf26,Precision CNC Lathe Machine,"This advanced CNC lathe machine offers high-speed machining, precise cutting capabilities, and a user-friendly interface for efficient production.",KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-6d1bfd,Guardian Fall Safety Harness,A durable and adjustable fall protection harness designed to enhance safety during work at heights.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-a6348c,ProMax Industrial Blender,A high-performance industrial blender designed to efficiently process large volumes of materials while maintaining consistent quality and reducing operational costs.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-99af60,Digital Multimeter Pro,"A versatile digital multimeter perfect for professionals needing accurate voltage, current, and resistance measurements.",Set,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-f59d0a,OptiSpec X-3000,A cutting-edge spectrometer designed for precise analysis and exceptional accuracy.,Box,True,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-99bac6,3D Print Solutions,"High-quality 3D printing services tailored to your specific needs, offering precision and efficiency.",Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-2b0525,Precision CNC Router,"A high-precision CNC router designed for intricate wood, metal, and plastic cutting tasks.",Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-335fda,Elegant Glass Carafe,A stylish glass carafe perfect for serving beverages at home or on the go.,Piece,True,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-cc6aaf,Universal Valve Kit,A durable set of high-quality valves suitable for various industrial applications.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-7b3d63,Precision Hole Punch Set,A durable set of high-quality hole punches designed to ensure consistent and precise holes for a variety of materials.,Set,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-2d38d2,Crystal Clear Glass,"A high-quality, durable glass that enhances your dining experience with its elegant design and crystal clarity.",Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-9e160f,FastForm Rapid PLA,"A high-performance, biodegradable PLA material designed for quick and efficient rapid prototyping.",Box,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-d3c7fe,Customized Rapid Prototyping Solutions,Offering high-quality 3D printing services tailored to your unique project needs.,KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-0afa97,Analytical Grade Acetic Acid,A high-purity chemical used in laboratory analyses and various industrial applications.,Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-e392a6,Guardian Fall Safety Harness,Essential fall protection equipment designed to keep workers safe and secure during high-risk tasks.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-46a6f6,ProGuard Safety Kit,"A comprehensive set of high-quality safety gloves, goggles, and hard hats designed to protect your hands, eyes, and head during hazardous work environments.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-744422,Precision GrindMaster,A high-quality grinding wheel ideal for precision work on metal and other hard surfaces.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-18c16c,3D Print Pro Resin,A high-quality liquid resin perfect for creating intricate and detailed 3D prints quickly.,Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-9959b8,ProGuard Safety Kit,"A comprehensive collection of high-quality safety gloves, goggles, and hard hats designed to protect workers in various industries.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-9b03ee,Eco-Friendly Dinner Plate,"A durable, biodegradable dinner plate made from sustainable materials.",Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
,Train Tracker Pro,"A real-time rail services app that keeps you updated on train arrivals, departures, delays, and service disruptions.",Box,False,Indirect Services and Materials,Corporate Travel,Transportation,Rail Services
,SecurePay Pro,A robust payment processing solution designed to ensure secure transactions while minimizing fees.,KG,False,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Payment Processing
,ProEvent Solutions,A leading provider of comprehensive event management services ensuring flawless execution and unforgettable experiences.,Set,True,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Event Management & Production
,UberX,Affordable rides with flexible pickup options.,Piece,True,Indirect Services and Materials,Corporate Travel,Transportation,Taxi & Ride-Sharing Services
,Uber Express,High-speed ride option for travelers seeking premium comfort and speed.,Piece,True,Indirect Services and Materials,Corporate Travel,Transportation,Taxi & Ride-Sharing Services
,Artisan Creative Solutions,"A leading creative agency offering innovative branding, content marketing, and digital solutions to help businesses stand out.",Set,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Creative, Content & Branding Agencies"
,SecureGuard Solutions,Comprehensive security consulting services tailored to assess risks and fortify your organization's defenses.,KG,False,Indirect Services and Materials,Facility Services,Security Services,Security Consulting & Risk Assessment
,Pulse Payroll Pro,"A comprehensive payroll management system that streamlines employee compensation, benefits administration, and compliance tracking.",KG,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Payroll & Benefits Administration
,Express Rail Travel,"A premium rail service offering comfortable seating, real-time updates, and scenic routes.",Piece,False,Indirect Services and Materials,Corporate Travel,Transportation,Rail Services
,DisputeResolutionPro,A comprehensive platform offering tailored solutions to resolve disputes efficiently and effectively.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Litigation & Dispute Resolution
,ProcessFlow Optimizer,"An advanced software solution designed to streamline operations by automating and optimizing workflows, reducing errors, and enhancing overall productivity.",Set,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Operations & Process Improvement
,Optima Business Suite,A comprehensive ERP solution designed to streamline and optimize your business operations for enhanced efficiency.,Box,False,Indirect Services and Materials,IT & Technology,Software,"Enterprise Applications (ERP, CRM, SCM)"
,CloudSphere Pro,A robust cloud hosting solution that offers scalable infrastructure and secure data storage for businesses of all sizes.,KG,False,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cloud & Hosting (IaaS, PaaS, SaaS)"
,SecureGuard Pro,A state-of-the-art security system that provides real-time alerts and comprehensive monitoring to keep your home safe.,KG,False,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring
,InsightTrack Pro,A comprehensive platform offering advanced brand tracking and analytics to help businesses understand consumer sentiment and optimize marketing strategies.,Piece,False,Indirect Services and Materials,Marketing & Sales,Market Research,Brand Tracking & Analytics
