category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0029,Ultraboost Light,ADI-S-0029,Ultraboost Light - 50ml - Green - HEPA H13,50ml,Green,HEPA H13,157.15
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0030,Essentials Backpack,ADI-S-0030,Essentials Backpack - 200g - White - Instant coffee,200g,White,Instant coffee,73.72
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0031,Essentials Backpack,ADI-S-0031,Essentials Backpack - 160x200cm - Navy - Ortholite insole,160x200cm,Navy,Ortholite insole,87.3
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0032,Stan Smith,ADI-S-0032,Stan Smith - 43 - Blue/Copper - AEROREADY,43,Blue/Copper,AEROREADY,127.81
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0033,Future Icons Tee,ADI-S-0033,Future Icons Tee - S - White - 7-zone support,S,White,7-zone support,178.17
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0034,Forum Low,ADI-S-0034,Forum Low - XL - Black - Laptop sleeve,XL,Black,Laptop sleeve,178.04
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0035,Adizero SL,ADI-S-0035,Adizero SL - M - White/Silver - Boost midsole,M,White/Silver,Boost midsole,196.04
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0036,Essentials Backpack,ADI-S-0036,Essentials Backpack - 200ml - Grey - Ortholite insole,200ml,Grey,Ortholite insole,138.76
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0037,Essentials Backpack,ADI-S-0037,Essentials Backpack - L - Green - HEPA H13,L,Green,HEPA H13,177.04
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0038,AEROREADY Tee,ADI-S-0038,AEROREADY Tee - XL - Blue/Copper - Laptop sleeve,XL,Blue/Copper,Laptop sleeve,148.33
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0039,AEROREADY Tee,ADI-S-0039,AEROREADY Tee - 140x200cm - Beige - Satin finish,140x200cm,Beige,Satin finish,181.93
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0040,Future Icons Tee,ADI-S-0040,Future Icons Tee - M - Navy - Laptop sleeve,M,Navy,Laptop sleeve,31.52
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0041,Ultraboost Light,ADI-S-0041,Ultraboost Light - 160x200cm - Blue/Copper - Laptop sleeve,160x200cm,Blue/Copper,Laptop sleeve,125.92
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0042,Ultraboost Light,ADI-S-0042,Ultraboost Light - M - Black - Laptop sleeve,M,Black,Laptop sleeve,32.13
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0043,Ultraboost Light,ADI-S-0043,Ultraboost Light - 375g - Beige - Boost midsole,375g,Beige,Boost midsole,112.55
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0044,Forum Low,ADI-S-0044,Forum Low - 140x200cm - White/Silver - Laptop sleeve,140x200cm,White/Silver,Laptop sleeve,117.06
ADI-ACC,Accessories,ADI-SOCK,Socks,Adidas,ADI-P-0045,Cushioned Crew Socks 3-Pack,ADI-S-0045,Cushioned Crew Socks 3-Pack - 160x200cm - White/Silver - Laptop sleeve,160x200cm,White/Silver,Laptop sleeve,161.23
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0046,AEROREADY Tee,ADI-S-0046,AEROREADY Tee - XL - White - Boost midsole,XL,White,Boost midsole,138.62
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0047,Tiro 23 Club Pants,ADI-S-0047,Tiro 23 Club Pants - 41 - Nickel - Satin finish,41,Nickel,Satin finish,175.49
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0048,Ultraboost Light,ADI-S-0048,Ultraboost Light - 140x200cm - White - AEROREADY,140x200cm,White,AEROREADY,92.47
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0049,Tiro 23 Club Pants,ADI-S-0049,Tiro 23 Club Pants - 200ml - White - Laptop sleeve,200ml,White,Laptop sleeve,54.49
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0050,Essentials Backpack,ADI-S-0050,Essentials Backpack - 42 - Grey - Hyaluronic acid,42,Grey,Hyaluronic acid,53.03
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0051,Future Icons Tee,ADI-S-0051,Future Icons Tee - XL - White - Satin finish,XL,White,Satin finish,165.44
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0052,Essentials Backpack,ADI-S-0052,Essentials Backpack - M - Black - Instant coffee,M,Black,Instant coffee,199.87
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0053,Ultraboost Light,ADI-S-0053,Ultraboost Light - M - Navy - Ortholite insole,M,Navy,Ortholite insole,93.15
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0054,Future Icons Tee,ADI-S-0054,Future Icons Tee - XL - Nickel - AEROREADY,XL,Nickel,AEROREADY,49.63
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0055,Ultraboost Light,ADI-S-0055,Ultraboost Light - 41 - Green - Satin finish,41,Green,Satin finish,71.34
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0056,Essentials Backpack,ADI-S-0056,Essentials Backpack - 140x200cm - White/Silver - Ortholite insole,140x200cm,White/Silver,Ortholite insole,54.18
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0057,Samba OG,ADI-S-0057,Samba OG - S - N/A - HEPA H13,S,N/A,HEPA H13,30.97
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0058,Tiro 23 Club Pants,ADI-S-0058,Tiro 23 Club Pants - S - Black - Coanda styling,S,Black,Coanda styling,105.82
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0059,Essentials Backpack,ADI-S-0059,Essentials Backpack - L - Black - HEPA H13,L,Black,HEPA H13,34.42
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0060,Stan Smith,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,M,N/A,Boost midsole,141.54
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0001,Gen5 Detect,DYS-S-0001,Gen5 Detect - 41 - White - Coanda styling,41,White,Coanda styling,282.9
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0002,Airwrap Multi-Styler,DYS-S-0002,Airwrap Multi-Styler - S - N/A - Boost midsole,S,N/A,Boost midsole,447.26
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0003,Airwrap Multi-Styler,DYS-S-0003,Airwrap Multi-Styler - 160x200cm - Blue/Copper - 7-zone support,160x200cm,Blue/Copper,7-zone support,936.97
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0004,Gen5 Detect,DYS-S-0004,Gen5 Detect - 140x200cm - Beige - Laptop sleeve,140x200cm,Beige,Laptop sleeve,301.33
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0005,Gen5 Detect,DYS-S-0005,Gen5 Detect - 140x200cm - Green - Satin finish,140x200cm,Green,Satin finish,349.37
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0006,V15 Detect Absolute,DYS-S-0006,V15 Detect Absolute - S - White/Silver - Coanda styling,S,White/Silver,Coanda styling,997.53
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0007,V15 Detect Absolute,DYS-S-0007,V15 Detect Absolute - M - Blue/Copper - Laptop sleeve,M,Blue/Copper,Laptop sleeve,529.59
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0008,Gen5 Detect,DYS-S-0008,Gen5 Detect - 200g - Beige - Boost midsole,200g,Beige,Boost midsole,884.31
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0009,Purifier Cool,DYS-S-0009,Purifier Cool - One Size - Grey - Satin finish,One Size,Grey,Satin finish,841.06
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0010,Filter Replacement,DYS-S-0010,Filter Replacement - One Size - N/A - Instant coffee,One Size,N/A,Instant coffee,551.49
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0011,Filter Replacement,DYS-S-0011,Filter Replacement - 375g - Blue/Copper - Removable cover,375g,Blue/Copper,Removable cover,934.17
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0012,V15 Detect Absolute,DYS-S-0012,V15 Detect Absolute - 200g - Grey - Removable cover,200g,Grey,Removable cover,158.66
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0013,V15 Detect Absolute,DYS-S-0013,V15 Detect Absolute - 50ml - Blue/Copper - Ortholite insole,50ml,Blue/Copper,Ortholite insole,307.73
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0014,Airwrap Multi-Styler,DYS-S-0014,Airwrap Multi-Styler - XL - Beige - Laptop sleeve,XL,Beige,Laptop sleeve,702.12
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0015,Purifier Cool,DYS-S-0015,Purifier Cool - 43 - White/Silver - Removable cover,43,White/Silver,Removable cover,909.07
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0016,V15 Detect Absolute,DYS-S-0016,V15 Detect Absolute - M - Nickel - Removable cover,M,Nickel,Removable cover,90.88
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0017,Purifier Cool,DYS-S-0017,Purifier Cool - 200ml - Grey - Instant coffee,200ml,Grey,Instant coffee,979.81
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0018,Gen5 Detect,DYS-S-0018,Gen5 Detect - 50ml - White/Silver - HEPA H13,50ml,White/Silver,HEPA H13,719.38
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0019,Airwrap Multi-Styler,DYS-S-0019,Airwrap Multi-Styler - S - White - Boost midsole,S,White,Boost midsole,946.8
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0020,Filter Replacement,DYS-S-0020,Filter Replacement - 200g - Grey - HEPA H13,200g,Grey,HEPA H13,83.23
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0021,Purifier Cool,DYS-S-0021,Purifier Cool - 160x200cm - Blue/Copper - Ortholite insole,160x200cm,Blue/Copper,Ortholite insole,457.3
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0022,V15 Detect Absolute,DYS-S-0022,V15 Detect Absolute - One Size - Beige - AEROREADY,One Size,Beige,AEROREADY,902.98
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0023,Gen5 Detect,DYS-S-0023,Gen5 Detect - 140x200cm - Navy - Instant coffee,140x200cm,Navy,Instant coffee,146.65
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0024,Airwrap Multi-Styler,DYS-S-0024,Airwrap Multi-Styler - 200g - Nickel - Coanda styling,200g,Nickel,Coanda styling,761
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0025,Gen5 Detect,DYS-S-0025,Gen5 Detect - 375g - Grey - Ortholite insole,375g,Grey,Ortholite insole,886.35
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0026,V15 Detect Absolute,DYS-S-0026,V15 Detect Absolute - L - Beige - Hyaluronic acid,L,Beige,Hyaluronic acid,811.12
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0027,Filter Replacement,DYS-S-0027,Filter Replacement - 200ml - Navy - Removable cover,200ml,Navy,Removable cover,200.24
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0028,Filter Replacement,DYS-S-0028,Filter Replacement - M - Nickel - AEROREADY,M,Nickel,AEROREADY,864.66
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0029,Gen5 Detect,DYS-S-0029,Gen5 Detect - XL - White/Silver - 7-zone support,XL,White/Silver,7-zone support,338.93
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0030,Gen5 Detect,DYS-S-0030,Gen5 Detect - XL - Black - Instant coffee,XL,Black,Instant coffee,232.47
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0031,Purifier Cool,DYS-S-0031,Purifier Cool - One Size - White - Removable cover,One Size,White,Removable cover,382.59
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0032,Airwrap Multi-Styler,DYS-S-0032,Airwrap Multi-Styler - 41 - Blue/Copper - 7-zone support,41,Blue/Copper,7-zone support,941.28
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0033,V15 Detect Absolute,DYS-S-0033,V15 Detect Absolute - 200g - Green - Ortholite insole,200g,Green,Ortholite insole,600.56
DYS-HOM,Home Appliances,DYS-AIR,Air Purifier,Dyson,DYS-P-0034,Purifier Cool,DYS-S-0034,Purifier Cool - S - White - Coanda styling,S,White,Coanda styling,461.84
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0035,Filter Replacement,DYS-S-0035,Filter Replacement - 200ml - Beige - Hyaluronic acid,200ml,Beige,Hyaluronic acid,624.9
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0036,Airwrap Multi-Styler,DYS-S-0036,Airwrap Multi-Styler - M - Nickel - Coanda styling,M,Nickel,Coanda styling,229.57
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0037,V15 Detect Absolute,DYS-S-0037,V15 Detect Absolute - 50ml - Nickel - AEROREADY,50ml,Nickel,AEROREADY,542.92
DYS-HOM,Home Appliances,DYS-HAIR,Hair Care,Dyson,DYS-P-0038,Airwrap Multi-Styler,DYS-S-0038,Airwrap Multi-Styler - 140x200cm - Navy - 7-zone support,140x200cm,Navy,7-zone support,458.73
DYS-HOM,Home Appliances,DYS-ACC,Accessories,Dyson,DYS-P-0039,Filter Replacement,DYS-S-0039,Filter Replacement - 200g - Beige - Coanda styling,200g,Beige,Coanda styling,347.22
DYS-HOM,Home Appliances,DYS-VAC,Vacuum,Dyson,DYS-P-0040,V15 Detect Absolute,DYS-S-0040,V15 Detect Absolute - 50ml - Green - HEPA H13,50ml,Green,HEPA H13,342.82
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0001,Emma Foam Pillow,EMM-S-0001,Emma Foam Pillow - 40 - Nickel - Removable cover,40,Nickel,Removable cover,515.79
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0002,Emma Hybrid Mattress,EMM-S-0002,Emma Hybrid Mattress - 41 - Nickel - Instant coffee,41,Nickel,Instant coffee,682.4
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0003,Emma Hybrid Mattress,EMM-S-0003,Emma Hybrid Mattress - 160x200cm - N/A - Removable cover,160x200cm,N/A,Removable cover,388.22
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0004,Emma Original Mattress,EMM-S-0004,Emma Original Mattress - One Size - Green - Laptop sleeve,One Size,Green,Laptop sleeve,408.7
EMM-SLP,Sleep,EMM-BED,Bed Frame,Emma,EMM-P-0005,Emma Metal Bed,EMM-S-0005,Emma Metal Bed - 160x200cm - Beige - Satin finish,160x200cm,Beige,Satin finish,418.94
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0006,Mattress Protector,EMM-S-0006,Mattress Protector - XL - Blue/Copper - Satin finish,XL,Blue/Copper,Satin finish,721.61
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0007,Mattress Protector,EMM-S-0007,Mattress Protector - L - White - Removable cover,L,White,Removable cover,482.29
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0008,Mattress Protector,EMM-S-0008,Mattress Protector - 160x200cm - Beige - Boost midsole,160x200cm,Beige,Boost midsole,742.84
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0009,Emma Hybrid Mattress,EMM-S-0009,Emma Hybrid Mattress - 140x200cm - Green - Laptop sleeve,140x200cm,Green,Laptop sleeve,732.64
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0010,Emma Hybrid Mattress,EMM-S-0010,Emma Hybrid Mattress - S - Black - Laptop sleeve,S,Black,Laptop sleeve,885.18
EMM-SLP,Sleep,EMM-BED,Bed Frame,Emma,EMM-P-0011,Emma Metal Bed,EMM-S-0011,Emma Metal Bed - 375g - White - Satin finish,375g,White,Satin finish,395.42
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0012,Mattress Protector,EMM-S-0012,Mattress Protector - 160x200cm - Navy - Hyaluronic acid,160x200cm,Navy,Hyaluronic acid,464.16
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0013,Emma Hybrid Mattress,EMM-S-0013,Emma Hybrid Mattress - L - Black - Boost midsole,L,Black,Boost midsole,708.44
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0014,Emma Hybrid Mattress,EMM-S-0014,Emma Hybrid Mattress - L - Blue/Copper - Satin finish,L,Blue/Copper,Satin finish,82.19
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0015,Emma Hybrid Mattress,EMM-S-0015,Emma Hybrid Mattress - 200g - White - Satin finish,200g,White,Satin finish,153.67
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0016,Emma Foam Pillow,EMM-S-0016,Emma Foam Pillow - 140x200cm - Blue/Copper - HEPA H13,140x200cm,Blue/Copper,HEPA H13,551.09
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0017,Emma Foam Pillow,EMM-S-0017,Emma Foam Pillow - 160x200cm - Blue/Copper - Hyaluronic acid,160x200cm,Blue/Copper,Hyaluronic acid,753.29
EMM-SLP,Sleep,EMM-BED,Bed Frame,Emma,EMM-P-0018,Emma Metal Bed,EMM-S-0018,Emma Metal Bed - 42 - Grey - Satin finish,42,Grey,Satin finish,426.06
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0019,Emma Hybrid Mattress,EMM-S-0019,Emma Hybrid Mattress - 375g - Green - HEPA H13,375g,Green,HEPA H13,455.75
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0020,Emma Hybrid Mattress,EMM-S-0020,Emma Hybrid Mattress - One Size - White/Silver - Boost midsole,One Size,White/Silver,Boost midsole,652.65
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0021,Emma Hybrid Mattress,EMM-S-0021,Emma Hybrid Mattress - One Size - Beige - 7-zone support,One Size,Beige,7-zone support,807
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0022,Emma Original Mattress,EMM-S-0022,Emma Original Mattress - L - Grey - Laptop sleeve,L,Grey,Laptop sleeve,368.41
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0023,Emma Hybrid Mattress,EMM-S-0023,Emma Hybrid Mattress - 50ml - Navy - Boost midsole,50ml,Navy,Boost midsole,395.79
EMM-SLP,Sleep,EMM-TOP,Topper,Emma,EMM-P-0024,Emma Topper,EMM-S-0024,Emma Topper - 43 - White/Silver - Hyaluronic acid,43,White/Silver,Hyaluronic acid,92.55
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0025,Emma Foam Pillow,EMM-S-0025,Emma Foam Pillow - 41 - N/A - AEROREADY,41,N/A,AEROREADY,775.79
EMM-SLP,Sleep,EMM-BED,Bed Frame,Emma,EMM-P-0026,Emma Metal Bed,EMM-S-0026,Emma Metal Bed - 41 - White/Silver - AEROREADY,41,White/Silver,AEROREADY,849.76
EMM-SLP,Sleep,EMM-TOP,Topper,Emma,EMM-P-0027,Emma Topper,EMM-S-0027,Emma Topper - 200ml - Nickel - Hyaluronic acid,200ml,Nickel,Hyaluronic acid,501.87
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0028,Mattress Protector,EMM-S-0028,Mattress Protector - 43 - N/A - Laptop sleeve,43,N/A,Laptop sleeve,458.88
EMM-SLP,Sleep,EMM-TOP,Topper,Emma,EMM-P-0029,Emma Topper,EMM-S-0029,Emma Topper - 41 - White/Silver - AEROREADY,41,White/Silver,AEROREADY,373.42
EMM-SLP,Sleep,EMM-BEDA,Bedding & Accessories,Emma,EMM-P-0030,Mattress Protector,EMM-S-0030,Mattress Protector - 140x200cm - Nickel - Ortholite insole,140x200cm,Nickel,Ortholite insole,761.83
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0031,Emma Hybrid Mattress,EMM-S-0031,Emma Hybrid Mattress - 160x200cm - Blue/Copper - AEROREADY,160x200cm,Blue/Copper,AEROREADY,818.96
