sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-d15ce8,OptiMize IT,Our expert team provides tailored consulting and implementation services to help your organization optimize its technology infrastructure for maximum efficiency and cost savings.,KG,False,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation
PROD-dcb370,Risk Sentinel Security Consulting,"Comprehensive security consulting and risk assessment services to help businesses protect their assets, data, and reputation.",Set,False,Indirect Services and Materials,Facility Services,Security Services,Security Consulting & Risk Assessment
PROD-887c83,Workforce Insights,A cutting-edge HR technology platform that provides data-driven insights and analytics to optimize workforce management.,KG,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,HR Consulting & Technology
PROD-15b9c4,EcoFlow Pro,A smart water management system that optimizes consumption and detects leaks to help you save money and conserve resources.,Box,False,Indirect Services and Materials,Facility Services,Real Estate & Utilities,"Utilities (Gas, Electricity, Water)"
PROD-d8b0da,Global PR Solutions,"A leading public relations firm offering comprehensive media strategy, crisis communication, and reputation management services to help businesses enhance their brand presence and achieve marketing goals.",Piece,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Public Relations (PR) Firms
PROD-725f6a,Achieve Rewards,"A comprehensive sales incentive program that motivates and rewards top-performing sales teams with exclusive perks, recognition, and financial benefits.",Piece,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Incentive & Reward Programs
PROD-b662f8,InsightPro Dashboard,"A comprehensive data visualization tool that presents complex survey results and analysis in an easily digestible, interactive dashboard.",Set,False,Indirect Services and Materials,Marketing & Sales,Market Research,"Data, Surveys & Analysis"
PROD-6d7c4f,StackMaster Stackable Tray Set,"A set of durable, stackable trays and dividers designed to keep your workspace organized and clutter-free.",KG,True,Direct Materials,Packaging Materials,Secondary Packaging,Trays & Dividers
PROD-cc512e,EcoSip Glass Water Bottle,"A sleek, reusable glass water bottle that keeps your beverages cold for hours while being environmentally friendly.",Set,True,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans"
PROD-d1bf56,Lithium Ion Battery Pack,"A high-capacity, rechargeable lithium-ion battery pack designed for portable electronic devices and renewable energy storage systems.",Piece,False,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-7099f0,EcoSip Reusable Glass Bottle,"A durable, BPA-free glass bottle perfect for keeping drinks cold or hot all day.",KG,False,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans"
PROD-be7df3,Lithium-ion Battery,"A high-capacity, rechargeable lithium-ion battery for portable electronic devices and renewable energy storage systems.",Box,False,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-c9282b,FlexiShrink Stretching Mat,"A versatile yoga mat that combines gentle stretching and targeted shirring to improve flexibility, relieve tension, and enhance overall well-being.",Set,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-3ae91c,EcoGuard Premium Corrugated Box,"Durable, eco-friendly corrugated box made from recycled materials for safe transportation of your products.",KG,False,Direct Materials,Packaging Materials,Secondary Packaging,Corrugated Boxes & Cartons
PROD-9fc5f6,FlexiShrink Stretching Band,"A versatile resistance band that allows you to stretch and shrink, providing an effective solution for strength training and flexibility exercises.",Set,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-4a8c21,Goo Gone Pro Concentrate,"A powerful, eco-friendly solvent that safely removes adhesives, stickers, glue residue, and grime from a variety of surfaces.",Set,True,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-24132b,MicroPower-2000 Low-Leakage Diode,"A high-performance, ultra-low leakage diode for use in power management circuits.",KG,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Semiconductors & Integrated Circuits
PROD-ad764f,Grafix Abrasive Blasting Kit,Comprehensive kit containing high-quality abrasive materials and tools for effective surface preparation and blasting.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-f1b76f,ProGuard Triple Protection,"Durable safety gloves, goggles, and hard hat combo for comprehensive protection on the job site.",Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-46e754,ProGuard Safety Kit,"A comprehensive safety kit that includes durable gloves, protective goggles, and a sturdy hard hat for enhanced protection during work or outdoor activities.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-fee5a8,Bamboo Cutlery Set,"Eco-friendly, reusable bamboo cutlery set perfect for picnics, parties, or everyday use.",Set,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-64f1eb,CaliperPro Digital Micrometer,"A precision digital caliper that accurately measures dimensions and thickness of various materials, suitable for industrial and laboratory testing.",Box,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-8e8749,PrecisionEngineeredSpares,"High-quality, precision-engineered spare parts designed to seamlessly fit and enhance your equipment's performance.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-d4e5a4,Precision CNC Router 3000,"A high-speed, industrial-grade CNC router capable of cutting and shaping a wide range of materials with exceptional precision.",Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-1fc1b5,CleanPro Deep-Clean Spray,"A powerful, eco-friendly cleaning spray that effectively removes tough stains and grime, leaving surfaces sparkling clean.",Box,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-4682f0,Fused Deposition Modeling (FDM) Filament - High Strength PLA,"A durable, high-strength version of the popular PLA material for rapid prototyping and 3D printing.",Set,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-b5b045,Innovative Prototyping Solutions,"High-quality 3D printing services for creating functional prototypes, custom parts, and intricate designs.",KG,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-ad9854,QuickPrint Resin,"A fast-setting, high-quality photopolymer resin ideal for rapid prototyping and creating detailed, durable parts using 3D printers.",Set,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-84fe5e,EcoFlow Glass Water Bottles,"Stylish, BPA-free glass water bottles that keep your drinks cold for hours.",KG,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-308023,OptiView X-ray Fluorescence Spectrometer,A high-performance XRF spectrometer for accurate elemental analysis of materials.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-c245f9,RoboMate X1000,"A versatile robotic arm designed to streamline assembly line processes, increasing efficiency and reducing human error.",Piece,True,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-b365e2,EcoFlow Clear Glass Water Bottle,"A sleek, reusable glass water bottle that helps you stay hydrated while reducing single-use plastic waste.",Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-cb1527,ProFlex Resin,"A high-quality, UV-curable liquid resin ideal for creating detailed and durable rapid prototypes using 3D printers.",Box,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-ab0b6f,RoboSort Pro,"A high-speed, modular assembly line automation system that efficiently sorts and packages products using advanced robotics technology.",Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-55cd75,ProMaster CNC Lathe,"A high-performance, precision-engineered CNC lathe designed for efficient and accurate machining of complex parts.",Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-06958f,Engine Oil Filter Replacement,"High-quality engine oil filter for precise replacement of worn or damaged filters, ensuring optimal engine performance.",Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-e34810,MaxLoad Super Packer,A high-capacity pallet jack designed for efficient material handling in warehouses and industrial settings.,Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-b351f9,Artful Storytellers,Crafting compelling narratives that elevate your brand's voice and connect with your audience.,Piece,True,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Creative, Content & Branding Agencies"
PROD-977452,FreshBite Catering,"Providing fresh, healthy food options for events and gatherings",KG,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Catering & Vending Services
PROD-e290bc,ProCar Tune-Up Kit,"A comprehensive set of tools and components needed to perform a complete engine tune-up, including spark plugs, air filters, oil filter, and more.",Box,False,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Maintenance & Repair
PROD-b59acb,SkillSprint Certification,Comprehensive online training program that delivers industry-recognized certifications to enhance your professional skills and career prospects.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Training & Development
PROD-945bd2,DocuSecure Pro,"A robust and secure cloud-based document management system that simplifies mail processing, organizing, and sharing for businesses of all sizes.",Set,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Mail & Document Management
PROD-e9b5b7,ProcessFlow Pro,"A comprehensive suite of tools designed to streamline, automate, and optimize complex business processes for enhanced efficiency and productivity.",KG,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Operations & Process Improvement
PROD-acfd80,QuickPrint Pro,Professional-grade print and copy services for all your document needs.,Box,True,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services
PROD-d53df7,ProGuard Transmission Fluid,"Durable synthetic transmission fluid that protects against wear, oxidation, and contamination for extended engine life.",KG,True,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Maintenance & Repair
PROD-143258,RetailSpace Pro,"RetailSpace Pro offers comprehensive merchandising services to optimize store layouts, product displays, and inventory management for maximum sales impact.",Box,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Merchandising Services
PROD-84fa90,SignalBoost Pro,A powerful signal booster that enhances your mobile phone reception for clearer calls and faster internet speeds.,Piece,False,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Telecommunications (Mobile, Fixed Line, Internet)"
PROD-a58d68,Eco-Friendly Reusable Bamboo Water Bottle,"Sip sustainably with this stylish, eco-friendly bamboo water bottle that's perfect for promoting your brand at outdoor events or corporate gatherings.",Box,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Promotional Goods & Branded Merchandise
PROD-2f18bd,Elite Security Force,A highly trained and professional security team providing top-notch protection services to ensure your safety and peace of mind.,KG,True,Indirect Services and Materials,Facility Services,Security Services,Manned Guarding
PROD-2883f8,Global Visa Express,"Streamline your visa application process with our expert support, ensuring a smooth path to international travel and study.",Set,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Visa & Immigration Support
PROD-42a118,BizCompliance Suite,"A comprehensive software solution designed to help businesses navigate complex corporate and commercial legal requirements, ensuring compliance with relevant laws and regulations.",Box,False,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Corporate & Commercial Law
PROD-f3daea,Global Visa Express,"A comprehensive online platform offering expert guidance, application assistance, and real-time updates to help individuals navigate complex visa and immigration processes worldwide.",Box,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Visa & Immigration Support
PROD-c49fe1,Achieve Rewards,A comprehensive sales incentive and reward program designed to motivate top-performing sales professionals through a tiered rewards system based on individual and team performance.,KG,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Incentive & Reward Programs
PROD-64248b,NetGain Enterprise Suite,"A comprehensive suite of enterprise applications that integrates ERP, CRM, and SCM functionalities to streamline business processes and drive growth.",KG,False,Indirect Services and Materials,IT & Technology,Software,"Enterprise Applications (ERP, CRM, SCM)"
PROD-c11314,ExpoPro Booth Rentals,"Professional trade show booth rentals for businesses of all sizes, offering customizable designs, high-quality materials, and expert setup services.",Box,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Trade Show & Exhibition Services
PROD-291e6e,SecureVault Savings Account,A highly secure savings account that offers competitive interest rates and easy access to your funds.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Banking & Treasury Services
PROD-68f365,Classic Creamy Confectioner's Sugar,"Smooth, fine-textured white sugar perfect for baking, cooking, or adding a touch of sweetness to coffee or tea.",KG,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Stationery & Consumables
PROD-bd7e1e,CollabPro Suite,"A comprehensive productivity and collaboration suite that streamlines communication, file sharing, and project management for teams of all sizes.",Set,True,Indirect Services and Materials,IT & Technology,Software,"Productivity & Collaboration Suites (Office, Email)"
PROD-ace40b,AirPro Maximizer,"An advanced air filtration system that removes pollutants, allergens, and odors while optimizing airflow for improved indoor air quality and energy efficiency.",Piece,True,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC
PROD-ea5e87,SecureGuard Pro,A comprehensive security solution that monitors and protects your network against threats while ensuring compliance with industry regulations.,KG,False,Indirect Services and Materials,IT & Technology,Software,Security & Compliance Software
PROD-f7d314,ProcessFlow Optimizer,"A comprehensive software solution that streamlines workflows, automates tasks, and enhances overall operational efficiency.",Set,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Operations & Process Improvement
PROD-309f93,Global Freight Connect,Streamline your international shipping process with our comprehensive freight forwarding and customs brokerage services.,Box,False,Indirect Services and Materials,Logistics,Transportation & Freight,Freight Forwarding & Customs Brokerage
PROD-47adce,TempGuard Pro,"A state-of-the-art smart thermostat that optimizes energy efficiency and maintains optimal indoor temperatures, ensuring maximum comfort for your building's occupants.",Box,True,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC
PROD-949d7b,SecureGuard Pro,"A comprehensive security solution that provides real-time threat detection, advanced encryption, access controls, and compliance monitoring for safeguarding your digital assets.",Piece,False,Indirect Services and Materials,IT & Technology,Software,Security & Compliance Software
PROD-034b1b,ProMacto High-Speed Duplex Printer,"A reliable and efficient printer that offers high-speed printing, duplex functionality, and advanced connectivity options for seamless document processing.",Set,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services
PROD-4dd329,FreshBite Deli,"A premium catering service offering a wide selection of freshly prepared, gourmet sandwiches, salads, and specialty beverages for any event or occasion.",Piece,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Catering & Vending Services
PROD-c77c6c,SEO Pro Max,"A powerful and user-friendly tool that streamlines your SEO efforts, helping you rank higher on search engines and drive more organic traffic to your website.",Set,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Digital Marketing & SEO/SEM
PROD-52f2c3,InsightPro Analytical Suite,A comprehensive data analysis software that streamlines survey collection and processing to provide actionable insights for informed decision-making.,KG,False,Indirect Services and Materials,Marketing & Sales,Market Research,"Data, Surveys & Analysis"
PROD-d4f04d,Strategic Edge Solutions,"Unlock your organization's full potential with cutting-edge management consulting services tailored to drive growth, optimize processes, and outmaneuver competitors.",Piece,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Management & Strategy Consulting
PROD-8f6669,ProcessFlow Pro,"A comprehensive software solution that streamlines and optimizes business processes, reducing bottlenecks and improving overall efficiency.",KG,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Operations & Process Improvement
PROD-e2f1cc,The Urban Nest,"Modern serviced apartments designed to provide comfort, convenience, and style for urban dwellers on the go.",Set,False,Indirect Services and Materials,Corporate Travel,Accommodation,Serviced Apartments
PROD-941d6e,Eco-Friendly Bamboo Water Bottle,"Stylish, reusable bamboo water bottle perfect for promoting your brand at eco-conscious events or conferences.",Piece,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Promotional Goods & Branded Merchandise
PROD-4701a9,GlobalPath Travel Solutions,"A comprehensive travel management platform offering seamless booking, itinerary planning, and real-time analytics for businesses of all sizes.",Box,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Travel Management Companies (TMCs)
PROD-47c0bf,GreenPath Solutions,Eco-friendly consulting firm offering sustainable business strategies to reduce environmental impact and promote long-term growth.,KG,True,Indirect Services and Materials,Corporate & Professional Services,Consulting,Environmental & Sustainability Consulting
PROD-71152b,SkyLux Executive Suite,"Indulge in unparalleled comfort and luxury aboard our premium executive class seats, designed to make your journey as memorable as your destination.",Piece,True,Indirect Services and Materials,Corporate Travel,Transportation,Airlines
PROD-6f424b,EcoClean Pro,"A state-of-the-art waste management system that seamlessly integrates recycling, composting, and trash disposal for an eco-friendly home or office.",KG,False,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling
PROD-d214c9,AchievePlus,A comprehensive sales incentive and reward program that motivates top-performing sales representatives to achieve their targets while fostering a culture of excellence.,Piece,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Incentive & Reward Programs
PROD-711996,SecureNet Pro,A powerful enterprise-grade router that combines advanced security features with high-speed performance to keep your network secure and efficient.,Piece,False,Indirect Services and Materials,IT & Technology,Hardware,"Networking (Routers, Switches, Firewalls)"
PROD-23047c,SecurePay Pro,"A robust payment processing platform that offers advanced security features, seamless integration with e-commerce websites, and customizable transaction options for businesses of all sizes.",Set,True,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Payment Processing
PROD-1f2f2b,AdMaster Pro,"A comprehensive media buying platform that streamlines the process of purchasing print, broadcast, and digital advertising space to optimize campaign performance.",Box,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Media Buying (Print, Broadcast, Digital)"
PROD-dfd69d,LeadGenPro,"A cutting-edge lead generation service that harnesses advanced AI algorithms to deliver high-quality, targeted leads for businesses of all sizes.",Set,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Lead Generation Services
PROD-766c1c,BookingPro,A user-friendly online booking tool that streamlines reservations and simplifies scheduling for businesses of all sizes.,KG,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Online Booking Tools (OBTs)
PROD-6c0b21,Persuasion Power,"A comprehensive sales training program that teaches effective communication techniques, objection handling strategies, and closing skills to boost your sales performance.",KG,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training
PROD-6bb792,Global Journey Solutions,"A comprehensive travel management company offering personalized itineraries, seamless booking, and unparalleled customer support for every type of traveler.",KG,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Travel Management Companies (TMCs)
PROD-383999,EcoBin Pro,"A sleek, durable recycling bin designed to make waste sorting easy and efficient.",Box,False,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling
PROD-2acdec,RailGuard Pro,"A cutting-edge mobile application that provides real-time updates on train schedules, delays, and service disruptions for seamless travel planning.",Set,False,Indirect Services and Materials,Corporate Travel,Transportation,Rail Services
PROD-82e98e,SpendWise Pro,"A comprehensive expense management software that streamlines the process of tracking, categorizing, and reporting on business expenses to help organizations optimize their spending.",Set,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Expense Management Software
PROD-43d532,SecureVault Savings,A highly secure savings account offering FDIC-insured protection and easy access to your funds.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Banking & Treasury Services
PROD-eb5a4f,TaskMaster Pro,"A comprehensive productivity and collaboration suite that streamlines workflows, centralizes communication, and enhances team efficiency.",Set,True,Indirect Services and Materials,IT & Technology,Software,"Productivity & Collaboration Suites (Office, Email)"
PROD-ec45b4,ComplianceGuard Pro,"ComplianceGuard Pro is an all-in-one security and compliance software solution that ensures your organization meets industry regulations, reduces vulnerabilities, and maintains a secure digital environment.",KG,False,Indirect Services and Materials,IT & Technology,Software,Security & Compliance Software
PROD-dfd536,ExpoSphere,"A cutting-edge virtual reality platform that brings your trade show experience to life, allowing potential customers to explore and engage with your products from anywhere in the world.",KG,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Trade Show & Exhibition Services
PROD-566d0f,CyberSecure Solutions,"A comprehensive IT consulting service that provides expert guidance on cybersecurity strategies, network security implementation, and risk management to protect your organization's digital assets.",Piece,False,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation
PROD-fdeefa,DataVizPro,DataVizPro is an all-in-one business intelligence and analytics platform that provides powerful data visualization tools to help you make informed decisions.,Set,False,Indirect Services and Materials,IT & Technology,Software,"Business Intelligence & Analytics (BI, Data Visualization)"
PROD-4fdc5a,SecureGuard Pro,"A state-of-the-art alarm system that seamlessly integrates advanced monitoring technology to keep your home or business safe from intruders, fire, and other potential threats.",Box,False,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring
PROD-6d704a,NetAssist Pro,A comprehensive managed services solution that offers round-the-clock helpdesk support and advanced network management capabilities to ensure optimal performance and uptime.,Set,True,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Managed Services (Helpdesk, Network Management)"
PROD-72bccd,Immigration Navigator Pro,"A comprehensive online platform providing expert guidance, personalized itineraries, and real-time updates to ensure a smooth visa application process.",Piece,True,Indirect Services and Materials,Corporate Travel,Travel Management Services,Visa & Immigration Support
PROD-33940f,Compliance Compass,"A comprehensive digital platform that guides businesses through complex corporate and commercial law requirements, ensuring adherence to regulations and minimizing legal risks.",Piece,False,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Corporate & Commercial Law
PROD-30bc83,MasterMind Coaching,"Unlock your full potential with personalized coaching sessions focused on enhancing leadership skills, decision-making abilities, and career advancement.",Piece,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Training & Development
PROD-6e5a82,ExpoPro Solutions,"Providing comprehensive trade show and exhibition services to help businesses showcase their products, engage customers, and achieve their marketing goals.",Piece,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Trade Show & Exhibition Services
PROD-2bb54f,HirePro,"HirePro is an innovative recruitment platform that streamlines the process of finding, hiring, and managing permanent and temporary staff for businesses of all sizes.",Piece,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,"Recruitment & Staffing (Permanent, Temporary)"
PROD-7dae65,Wellness Hub,"A comprehensive employee wellness platform offering personalized health coaching, stress management resources, fitness challenges, and mental health support to promote a healthier, happier workforce.",Box,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Employee Welfare & Assistance Programs
PROD-52e2c2,Quantum Insights,Advanced data analysis software that provides powerful insights and predictive analytics for businesses of all sizes.,Box,False,Indirect Services and Materials,Marketing & Sales,Market Research,"Data, Surveys & Analysis"
PROD-3d1687,EcoSustain Solutions,Expert environmental consulting services to help businesses achieve sustainability goals and reduce their carbon footprint.,Set,False,Indirect Services and Materials,Corporate & Professional Services,Consulting,Environmental & Sustainability Consulting
PROD-05b75b,CollabFlow Pro,"A powerful productivity suite that streamlines collaboration, communication, and workflow management for teams of all sizes.",Box,False,Indirect Services and Materials,IT & Technology,Software,"Productivity & Collaboration Suites (Office, Email)"
PROD-cb0763,HirePro,HirePro is an all-in-one recruitment platform that streamlines the hiring process for both employers and job seekers.,Piece,True,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,"Recruitment & Staffing (Permanent, Temporary)"
PROD-cfaaa2,BookMaster Pro,"BookMaster Pro is an all-in-one online booking tool that streamlines scheduling for businesses of any size, offering customizable calendars, automated reminders, seamless integrations with popular platforms, and powerful analytics to optimize your service offerings.",Piece,False,Indirect Services and Materials,Corporate Travel,Travel Management Services,Online Booking Tools (OBTs)
PROD-5fdf3e,SEO PowerSuite,"A comprehensive suite of tools that help optimize websites for search engines, analyze competitors, and improve overall SEO performance.",Set,False,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Digital Marketing & SEO/SEM
